epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
76,1172.93,1.01754,3.88825,0.00617,0.98584,1,0.995,0.8505,0.72833,4.28296,0.00404,0.000515,0.000515,0.000515
77,1187.55,0.87162,3.50907,0.00447,0.9861,1,0.995,0.8955,0.57512,4.13919,0.00333,0.0004952,0.0004952,0.0004952
78,1202.19,1.12723,3.44849,0.00578,0.9861,1,0.995,0.8955,0.57512,4.13919,0.00333,0.0004754,0.0004754,0.0004754
79,1217.78,0.82117,3.90271,0.00461,0.98605,1,0.995,0.945,0.33563,3.93119,0.00223,0.0004556,0.0004556,0.0004556
80,1233.74,0.84744,3.17257,0.00451,0.98605,1,0.995,0.945,0.33563,3.93119,0.00223,0.0004358,0.0004358,0.0004358
81,1249.55,0.78865,2.91148,0.00423,0.9866,1,0.995,0.995,0.15879,3.7501,0.00112,0.000416,0.000416,0.000416
82,1265.06,1.10968,3.24532,0.00564,0.9866,1,0.995,0.995,0.15879,3.7501,0.00112,0.0003962,0.0003962,0.0003962
83,1278.37,0.82723,2.81215,0.00417,0.98699,1,0.995,0.995,0.28151,3.76753,0.00123,0.0003764,0.0003764,0.0003764
84,1292.33,0.95337,3.57452,0.00608,0.98699,1,0.995,0.995,0.28151,3.76753,0.00123,0.0003566,0.0003566,0.0003566
85,1306.99,0.79939,3.84042,0.00449,0.98733,1,0.995,0.94525,0.42372,3.81748,0.00183,0.0003368,0.0003368,0.0003368
86,1321.95,0.90102,2.87522,0.0046,0.98733,1,0.995,0.94525,0.42372,3.81748,0.00183,0.000317,0.000317,0.000317
87,1336.27,0.79084,3.15841,0.00381,0.98733,1,0.995,0.94525,0.42372,3.81748,0.00183,0.0002972,0.0002972,0.0002972
88,1351.2,1.09972,3.271,0.00474,0.9878,1,0.995,0.94525,0.50275,3.83306,0.00233,0.0002774,0.0002774,0.0002774
89,1366.26,0.94754,3.68914,0.00563,0.9878,1,0.995,0.94525,0.50275,3.83306,0.00233,0.0002576,0.0002576,0.0002576
90,1380.67,1.03918,3.04522,0.00525,0.98798,1,0.995,0.94525,0.53889,3.82657,0.00263,0.0002378,0.0002378,0.0002378
91,1395.28,0.84475,3.9974,0.00601,0.98798,1,0.995,0.94525,0.53889,3.82657,0.00263,0.000218,0.000218,0.000218
92,1409.15,0.79191,4.03276,0.00566,0.98776,1,0.995,0.94525,0.5344,3.82444,0.00292,0.0001982,0.0001982,0.0001982
93,1423.15,0.84167,3.92197,0.00613,0.98776,1,0.995,0.94525,0.5344,3.82444,0.00292,0.0001784,0.0001784,0.0001784
94,1437.32,0.86009,4.03389,0.00643,0.98767,1,0.995,0.9273,0.50204,3.81988,0.00289,0.0001586,0.0001586,0.0001586
95,1453.42,0.76402,4.00746,0.00597,0.98767,1,0.995,0.9273,0.50204,3.81988,0.00289,0.0001388,0.0001388,0.0001388
96,1468.21,0.67024,4.25671,0.00465,0.9875,1,0.995,0.9273,0.45517,3.79914,0.00268,0.000119,0.000119,0.000119
97,1484.47,0.90928,4.03123,0.00631,0.9875,1,0.995,0.9273,0.45517,3.79914,0.00268,9.92e-05,9.92e-05,9.92e-05
98,1499.3,0.81327,4.02823,0.00651,0.98766,1,0.995,0.91533,0.40353,3.77193,0.00243,7.94e-05,7.94e-05,7.94e-05
99,1514.11,0.82395,3.89453,0.00498,0.98766,1,0.995,0.91533,0.40353,3.77193,0.00243,5.96e-05,5.96e-05,5.96e-05
100,1530.25,0.73939,3.99806,0.0047,0.98742,1,0.995,0.94012,0.36719,3.75057,0.00221,3.98e-05,3.98e-05,3.98e-05
