sample,point,x,top_y,bottom_y,diameter,tracking_status,confidence
sample_07,18,91,395.05203606319344,783.0422534728849,387.99021740969147,TRACKED,0.7841953039169312
sample_07,19,95,395.0,783.0070421456865,388.00704214568646,TRACKED,0.7841953039169312
sample_07,20,99,396.0,783.014285702608,387.01428570260805,TRACKED,0.7841953039169312
sample_07,21,102,396.707920515354,783.0053004095612,386.2973798942072,TRACKED,0.7841953039169312
sample_07,22,106,398.3571425976396,782.9833332676358,384.62619066999616,TRACKED,0.7841953039169312
sample_07,23,109,399.0,782.9782608806593,383.97826088065926,TRACKED,0.7841953039169312
sample_07,24,113,399.0,782.9584718273222,383.9584718273222,TRACKED,0.7841953039169312
sample_07,25,117,397.0,782.9391892275033,385.93918922750333,TRACKED,0.7841953039169312
sample_07,26,120,397.0,782.9280821058803,385.9280821058803,TRACKED,0.7841953039169312
sample_07,27,124,398.0,782.9067796610169,384.9067796610169,TRACKED,0.7841953039169312
sample_07,28,128,397.91176496987515,782.9019932493787,384.9902282795036,TRACKED,0.7841953039169312
sample_07,29,131,398.0,782.8890676917366,384.8890676917366,TRACKED,0.7841953039169312
sample_07,30,135,397.0,782.8779264730348,385.8779264730348,TRACKED,0.7841953039169312
sample_07,31,139,396.27358472911686,782.8531468657387,386.57956213662186,TRACKED,0.7841953039169312
sample_N01,1,38,454.7777777974007,961.0,506.2222222025993,TRACKED,0.6911805272102356
sample_N01,2,42,454.1259540384254,960.8999938964844,506.774039858059,TRACKED,0.6911805272102356
sample_N01,3,47,455.78846175712937,963.0,507.21153824287063,TRACKED,0.6911805272102356
sample_N01,4,51,455.76771655908425,963.0,507.23228344091575,TRACKED,0.6911805272102356
sample_N01,5,56,453.25539594209675,958.0,504.74460405790325,TRACKED,0.6911805272102356
sample_N01,6,60,452.96700519999274,958.0,505.03299480000726,TRACKED,0.6911805272102356
sample_N01,7,65,455.2311828839102,958.5,503.2688171160898,TRACKED,0.6911805272102356
sample_N01,8,69,457.50938970583496,958.2500071524619,500.7406174466269,TRACKED,0.6911805272102356
sample_N01,9,74,457.92741928537237,958.7500095365249,500.8225902511525,TRACKED,0.6911805272102356
sample_N01,10,78,458.35869562963904,959.0714285714286,500.7127329417895,TRACKED,0.6911805272102356
sample_N01,11,83,,,,JUMP_REJECTED,0.6911805272102356
sample_N01,12,87,,,,JUMP_REJECTED,0.6911805272102356
sample_N01,13,92,,,,JUMP_REJECTED,0.6911805272102356
sample_N01,14,96,,,,JUMP_REJECTED,0.6911805272102356
sample_N01,15,101,454.5303026099501,958.7307665220989,504.20046391214873,TRACKED,0.6911805272102356
sample_N01,16,106,455.10098520686375,958.1153855182695,503.0144003114057,INITIAL,0.6911805272102356
sample_N01,17,110,456.08682659761536,957.4090915396247,501.3222649420093,TRACKED,0.6911805272102356
sample_N01,18,115,457.0,957.0714270144194,500.07142701441944,TRACKED,0.6911805272102356
sample_N01,19,119,,,,JUMP_REJECTED,0.6911805272102356
sample_N01,20,124,,,,JUMP_REJECTED,0.6911805272102356
sample_N01,21,128,456.05555579103077,957.8636382552244,501.8080824641936,TRACKED,0.6911805272102356
sample_N01,22,133,456.65503899121705,958.0,501.34496100878295,TRACKED,0.6911805272102356
sample_N01,23,137,,,,JUMP_REJECTED,0.6911805272102356
sample_N01,24,142,455.07894717217624,958.0,502.92105282782376,TRACKED,0.6911805272102356
sample_N01,25,146,454.6590906627907,958.0,503.3409093372093,TRACKED,0.6911805272102356
sample_N01,26,151,454.3971955886369,958.0,503.6028044113631,TRACKED,0.6911805272102356
sample_N01,27,155,454.3591548614713,958.0,503.6408451385287,TRACKED,0.6911805272102356
sample_N01,28,160,454.8124998137354,957.0,502.1875001862646,TRACKED,0.6911805272102356
sample_N01,29,164,455.0354332577103,958.0,502.9645667422897,TRACKED,0.6911805272102356
sample_N01,30,169,454.87000007629393,958.0,503.12999992370607,TRACKED,0.6911805272102356
sample_N01,31,174,454.39285698066766,950.666664547385,496.2738075667174,TRACKED,0.6911805272102356
sample_N02,1,28,429.2499994701807,826.2610294017103,397.0110299315296,TRACKED,0.774206817150116
sample_N02,2,31,428.87931043554556,826.4759448554603,397.5966344199147,TRACKED,0.774206817150116
sample_N02,3,34,429.0,826.713622410952,397.713622410952,TRACKED,0.774206817150116
sample_N02,4,38,428.0,826.7123076468022,398.7123076468022,TRACKED,0.774206817150116
sample_N02,5,41,428.0,826.6314102042904,398.63141020429043,TRACKED,0.774206817150116
sample_N02,6,45,428.0,826.3039214630303,398.3039214630303,TRACKED,0.774206817150116
sample_N02,7,48,428.0,826.2713178775967,398.27131787759674,TRACKED,0.774206817150116
sample_N02,8,51,428.0,826.0756579190905,398.07565791909053,TRACKED,0.774206817150116
sample_N02,9,55,428.0,826.0000000588687,398.00000005886875,TRACKED,0.774206817150116
sample_N02,10,58,428.0,825.9984519772823,397.99845197728234,TRACKED,0.774206817150116
sample_N02,11,62,427.4876540360917,825.9798761108979,398.49222207480614,TRACKED,0.774206817150116
sample_N02,12,65,427.0,826.011705699273,399.01170569927297,TRACKED,0.774206817150116
sample_N02,13,68,428.58999925232047,826.0333332262541,397.4433339739336,TRACKED,0.774206817150116
sample_N02,14,72,428.0,826.0190311094403,398.01903110944033,TRACKED,0.774206817150116
sample_N02,15,75,428.7987013694748,826.0195729276486,397.22087155817377,TRACKED,0.774206817150116
sample_N02,16,79,428.0,825.9855071942964,397.98550719429636,INITIAL,0.774206817150116
sample_N02,17,82,428.10606120155916,826.0162454789128,397.9101842773536,TRACKED,0.774206817150116
sample_N02,18,85,429.0,826.0503596998904,397.05035969989035,TRACKED,0.774206817150116
sample_N02,19,89,430.0,826.0370370802075,396.0370370802075,TRACKED,0.774206817150116
sample_N02,20,92,430.0,825.9767024976892,395.9767024976892,TRACKED,0.774206817150116
sample_N02,21,96,429.0,825.9561403755336,396.95614037553355,TRACKED,0.774206817150116
sample_N02,22,99,429.0,825.9590746509672,396.9590746509672,TRACKED,0.774206817150116
sample_N02,23,102,430.0,826.0312500419095,396.0312500419095,TRACKED,0.774206817150116
sample_N02,24,106,430.7335766850171,826.0591837046097,395.3256070195926,TRACKED,0.774206817150116
sample_N02,25,109,430.2904761178153,825.96071434021,395.6702382223947,TRACKED,0.774206817150116
sample_N02,26,113,430.0,825.9798534737114,395.9798534737114,TRACKED,0.774206817150116
sample_N02,27,116,431.0,825.9851852014068,394.9851852014068,TRACKED,0.774206817150116
sample_N02,28,119,433.2647054863632,825.9828897768576,392.71818429049443,TRACKED,0.774206817150116
sample_N02,29,123,432.3018868365887,825.9851063322083,393.68321949561954,TRACKED,0.774206817150116
sample_N02,30,126,431.07142857142856,826.0148937586262,394.9434651871976,TRACKED,0.774206817150116
sample_N02,31,130,431.1451603773353,825.9956896388715,394.85052926153617,TRACKED,0.774206817150116
