sample,point,x,top_y,bottom_y,diameter,deviation,outlier,confidence
sample_04,26,123,316.92857140910866,777.8084113065806,460.879839897472,3.019465708443988,NORMAL,0.689749538898468
sample_04,27,127,231.35713974310767,777.7727274386557,546.4155876955481,82.51628208963211,OUTLIER,0.689749538898468
sample_04,28,130,230.62500089407266,777.7648400653306,547.139839171258,83.24053356534205,OUTLIER,0.689749538898468
sample_04,29,134,314.8983403537205,964.6249988079003,649.7266584541798,185.82735284826379,OUTLIER,0.689749538898468
sample_04,30,138,315.0,968.8333290947701,653.8333290947701,189.9340234888541,OUTLIER,0.689749538898468
sample_04,31,142,315.0,960.9285714285714,645.9285714285714,182.02926582265547,OUTLIER,0.689749538898468
sample_06,1,30,325.0,788.6398306468272,463.63983064682725,0.4572567030478467,NORMAL,0.7647799849510193
sample_06,2,33,325.0,788.6298701170022,463.62987011700216,0.46721723287294026,NORMAL,0.7647799849510193
sample_06,3,37,325.0,788.5048079832769,463.5048079832769,0.5922793665981771,NORMAL,0.7647799849510193
sample_06,4,40,325.0,788.475247336841,463.475247336841,0.6218400130341024,NORMAL,0.7647799849510193
sample_06,5,44,324.074467808804,788.5360826931593,464.4616148843553,0.36452753448020303,NORMAL,0.7647799849510193
sample_06,6,47,324.0,788.4039549788155,464.4039549788155,0.3068676289403811,NORMAL,0.7647799849510193
sample_06,7,51,324.0,788.3875738843592,464.3875738843592,0.2904865344841028,NORMAL,0.7647799849510193
sample_06,8,54,324.0,788.317073145202,464.317073145202,0.2199857953269202,NORMAL,0.7647799849510193
sample_06,9,58,324.0,788.1848482074159,464.18484820741594,0.08776085754084306,NORMAL,0.7647799849510193
sample_06,10,61,324.0,788.0354838217459,464.03548382174586,0.06160352812923975,NORMAL,0.7647799849510193
sample_06,11,65,324.0,788.0980860807365,464.0980860807365,0.0009987308613972345,NORMAL,0.7647799849510193
sample_06,12,68,324.0,788.1009851309568,464.1009851309568,0.0038977810817186764,NORMAL,0.7647799849510193
sample_06,13,72,324.0,788.0970873498751,464.0970873498751,0.0,NORMAL,0.7647799849510193
sample_06,14,75,324.0,788.0902439042545,464.0902439042545,0.006843445620575039,NORMAL,0.7647799849510193
sample_06,15,79,324.0,788.0728155393741,464.0728155393741,0.024271810500977153,NORMAL,0.7647799849510193
sample_06,16,83,324.0,788.0,464.0,0.09708734987509615,NORMAL,0.7647799849510193
sample_06,17,86,324.0,788.01818188754,464.01818188754,0.07890546233511486,NORMAL,0.7647799849510193
sample_06,18,90,326.0,788.0,462.0,2.097087349875096,NORMAL,0.7647799849510193
sample_06,19,93,328.3286711785011,895.0,566.671328821499,102.57424147162385,OUTLIER,0.7647799849510193
sample_06,20,97,326.36440667007474,787.9716157438016,461.6072090737269,2.489878276148204,NORMAL,0.7647799849510193
sample_06,21,100,319.7142833787466,787.9669603479811,468.25267696923447,4.155589619359375,OUTLIER,0.7647799849510193
sample_06,22,104,328.15193361374514,908.8636338415015,580.7117002277564,116.61461287788131,OUTLIER,0.7647799849510193
sample_06,23,107,326.5697674542391,787.9232365729771,461.35346911873796,2.743618231137134,OUTLIER,0.7647799849510193
sample_06,24,111,326.7604650915217,787.8875968866168,461.1271317950951,2.969955554779972,OUTLIER,0.7647799849510193
sample_06,25,114,326.7863070447469,787.8977273072093,461.1114202624624,2.9856670874127076,OUTLIER,0.7647799849510193
sample_06,26,118,326.776816594381,787.8897058153235,461.1128892209425,2.984198128932576,OUTLIER,0.7647799849510193
sample_06,27,121,325.15306110930214,791.3079998779297,466.1549387686275,2.0578514187524206,NORMAL,0.7647799849510193
sample_06,28,125,325.17307676436633,791.0,465.82692323563367,1.7298358857585754,NORMAL,0.7647799849510193
sample_06,29,128,247.0,787.8167260501482,540.8167260501482,76.7196387002731,OUTLIER,0.7647799849510193
sample_06,30,132,325.0595238834101,982.4090921701496,657.3495682867394,193.25248093686434,OUTLIER,0.7647799849510193
sample_06,31,136,225.0,787.779310328952,562.779310328952,98.68222297907687,OUTLIER,0.7647799849510193
sample_07,1,30,320.0,783.3378376567163,463.33783765671626,0.772201067625133,NORMAL,0.7841953039169312
sample_07,2,33,319.0,783.4282513703828,464.4282513703828,0.3182126460413883,NORMAL,0.7841953039169312
sample_07,3,37,319.0,783.2608695652174,464.2608695652174,0.15083084087598309,NORMAL,0.7841953039169312
sample_07,4,40,319.0,783.1753245959725,464.1753245959725,0.06528587163109023,NORMAL,0.7841953039169312
sample_07,5,44,319.0,783.1969693957171,464.19696939571713,0.08693067137573962,NORMAL,0.7841953039169312
sample_07,6,48,319.0,783.1543209682736,464.1543209682736,0.0442822439322299,NORMAL,0.7841953039169312
sample_07,7,51,319.0,783.1100387243414,464.1100387243414,0.0,NORMAL,0.7841953039169312
sample_07,8,55,319.0,783.1215140156719,464.1215140156719,0.011475291330498294,NORMAL,0.7841953039169312
sample_07,9,59,319.0,783.046075087546,464.046075087546,0.06396363679539263,NORMAL,0.7841953039169312
sample_07,10,62,319.0,783.0376711747149,464.0376711747149,0.07236754962650593,NORMAL,0.7841953039169312
sample_07,11,66,318.0,783.0475285253829,465.04752852538286,0.9374898010414654,NORMAL,0.7841953039169312
sample_07,12,69,319.0,783.0551331184532,464.0551331184532,0.054905605888166065,NORMAL,0.7841953039169312
sample_07,13,73,319.0,783.0574914225781,464.0574914225781,0.05254730176329758,NORMAL,0.7841953039169312
sample_07,14,77,319.0,783.0769229948424,464.07692299484245,0.03311572949894526,NORMAL,0.7841953039169312
sample_07,15,80,319.0,783.09566782728,464.09566782727995,0.014370897061439791,NORMAL,0.7841953039169312
sample_07,16,84,319.0,783.10147587971,464.10147587971005,0.008562844631342159,NORMAL,0.7841953039169312
sample_07,17,88,320.0,783.0724381082451,463.07243810824514,1.037600616096256,NORMAL,0.7841953039169312
sample_07,18,91,320.0,783.0422534728849,463.0422534728849,1.0677852514564847,NORMAL,0.7841953039169312
sample_07,19,95,321.0,783.0,462.0,2.1100387243413934,NORMAL,0.7841953039169312
sample_07,20,99,321.0,783.014285702608,462.01428570260805,2.095753021733344,NORMAL,0.7841953039169312
sample_07,21,102,321.0,783.0053004095612,462.0053004095612,2.1047383147802066,NORMAL,0.7841953039169312
sample_07,22,106,321.5909092949035,782.9833332676358,461.3924239727323,2.717614751609119,NORMAL,0.7841953039169312
sample_07,23,109,321.80258301544177,782.9782608806593,461.1756778652175,2.934360859123899,NORMAL,0.7841953039169312
sample_07,24,113,231.92857039055403,782.9584718273222,551.0299014367682,86.91986271242683,OUTLIER,0.7841953039169312
sample_07,25,117,276.3749976158233,782.9391892275033,506.56419161168003,42.45415288733864,OUTLIER,0.7841953039169312
sample_07,26,120,227.73077035937192,782.9280821058803,555.1973117465084,91.08727302216698,OUTLIER,0.7841953039169312
sample_07,27,124,242.28571506422307,782.9067796610169,540.6210645967939,76.51102587245248,OUTLIER,0.7841953039169312
sample_07,28,128,243.5,782.9019932493787,539.4019932493787,75.29195452503734,OUTLIER,0.7841953039169312
sample_07,29,131,225.65384637956737,782.8890676917366,557.2352213121692,93.1251825878278,OUTLIER,0.7841953039169312
sample_07,30,135,225.23333231608072,782.8779264730348,557.6445941569541,93.5345554326127,OUTLIER,0.7841953039169312
sample_07,31,139,225.28571448034202,782.8531468657387,557.5674323853967,93.45739366105533,OUTLIER,0.7841953039169312
sample_N01,1,38,383.1027411433833,857.9830507798795,474.8803096364962,214.4223218516408,NORMAL,0.6911805272102356
sample_N01,2,42,187.0999984741211,857.9640884723118,670.8640899981907,18.43854148994626,NORMAL,0.6911805272102356
sample_N01,3,47,383.196429447251,857.97632310261,474.779893655359,214.52273783277798,NORMAL,0.6911805272102356
sample_N01,4,51,175.05555696840997,857.9759207199902,682.9203637515802,6.3822677365567415,NORMAL,0.6911805272102356
sample_N01,5,56,172.78572207084468,857.9838709316555,685.1981488608108,4.104482627326206,NORMAL,0.6911805272102356
sample_N01,6,60,384.0,858.0127389341723,474.01273893417226,215.2898925539647,NORMAL,0.6911805272102356
sample_N01,7,65,167.69999618531727,857.9371257327731,690.2371295474559,0.934498059318912,NORMAL,0.6911805272102356
sample_N01,8,69,384.46240602366373,857.9285713474767,473.46616532381296,215.836466164324,NORMAL,0.6911805272102356
